pokemon_id,Red,Blue,Yellow,Gold,Silver,Crystal,Ruby,Sapphire,Emerald,FireRed,LeafGreen,Diamond,Pearl,Platinum,HeartGold,SoulSilver,Black,White,Black 2,White 2,X,Y,Omega Ruby,Alpha Sapphire,Sun,Moon,Ultra Sun,Ultra Moon,Sword,Shield,Brilliant Diamond,Shining Pearl,Legends: Arceus
1,Starter Pokémon,Starter Pokémon,Gift in Cerulean City,"Transfer from Red, Green, Blue or Yellow","Transfer from Red, Green, Blue or Yellow","Transfer from Red, Green, Blue or Yellow",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Starter Pokémon Obtained in Pallet Town,Starter Pokémon Obtained in Pallet Town,Transfer from GBA via Pal Park,Transfer from GBA via Pal Park,None - Pal Park from 3rd Gen,Receive from Professor Oak,Receive from Professor Oak,None. PokéTransfer or Dream World,None. PokéTransfer or Dream World,Trade Required,Trade Required,Lumiose City - Professor Sycamore,Lumiose City - Professor Sycamore,Trade from X & Y,Trade from X & Y,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Route 2 - Island Scan (Friday),Route 2 - Island Scan (Friday),Transfer through Pokémon HOME or through events,Transfer through Pokémon HOME or through events,Grand Underground,Grand Underground,Not found in Legends Arceus
2,Evolve Bulbasaur,Evolve Bulbasaur,Evolve Bulbasaur,"Transfer from Red, Green, Blue or Yellow","Transfer from Red, Green, Blue or Yellow","Transfer from Red, Green, Blue or Yellow",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Evolve Bulbasaur,Evolve Bulbasaur,Transfer from GBA via Pal Park,Transfer from GBA via Pal Park,None - Pal Park from 3rd Gen,Evolve Bulbasaur,Evolve Bulbasaur,None. PokéTransfer or Dream World,None. PokéTransfer or Dream World,Trade Required,Trade Required,Friend Safari,Friend Safari,Trade from X & Y,Trade from X & Y,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Evolve Bulbasaur,Evolve Bulbasaur,Transfer through Pokémon HOME or through events,Transfer through Pokémon HOME or through events,Evolve Bulbasaur,Evolve Bulbasaur,Not found in Legends Arceus
3,Evolve Ivysaur,Evolve Ivysaur,Evolve Ivysaur,"Transfer from Red, Green, Blue or Yellow","Transfer from Red, Green, Blue or Yellow","Transfer from Red, Green, Blue or Yellow",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Evolve Ivysaur,Evolve Ivysaur,Transfer from GBA via Pal Park,Transfer from GBA via Pal Park,None - Pal Park from 3rd Gen,Evolve Ivysaur,Evolve Ivysaur,None. PokéTransfer or Dream World,None. PokéTransfer or Dream World,Trade Required,Trade Required,Evolve Ivysaur,Evolve Ivysaur,Trade from X & Y,Trade from X & Y,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Evolve Ivysaur,Evolve Ivysaur,Transfer through Pokémon HOME or through events,Transfer through Pokémon HOME or through events,Evolve Ivysaur,Evolve Ivysaur,Not found in Legends Arceus
4,Starter Pokémon,Starter Pokémon,Gift in Route 25,"Transfer from Red, Green, Blue or Yellow","Transfer from Red, Green, Blue or Yellow","Transfer from Red, Green, Blue or Yellow",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Starter Pokémon Obtained in Pallet Town,Starter Pokémon Obtained in Pallet Town,Transfer from GBA via Pal Park,Transfer from GBA via Pal Park,None - Pal Park from 3rd Gen,Receive from Professor Oak,Receive from Professor Oak,None. PokéTransfer or Dream World,None. PokéTransfer or Dream World,Trade Required,Trade Required,Lumiose City - Professor Sycamore,Lumiose City - Professor Sycamore,Trade from X & Y,Trade from X & Y,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Route 3 - Island Scan (Sunday),Route 3 - Island Scan (Sunday),"Gift from Leon in Postwick , Max Raid Battles: Hammerlocke Hills , Lake of Outrage","Gift from Leon in Postwick , Max Raid Battles: Hammerlocke Hills , Lake of Outrage",Grand Underground,Grand Underground,Not found in Legends Arceus
5,Evolve Charmander,Evolve Charmander,Evolve Charmander,"Transfer from Red, Green, Blue or Yellow","Transfer from Red, Green, Blue or Yellow","Transfer from Red, Green, Blue or Yellow",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Evolve Charmander,Evolve Charmander,Transfer from GBA via Pal Park,Transfer from GBA via Pal Park,None - Pal Park from 3rd Gen,Evolve Charmander,Evolve Charmander,None. PokéTransfer or Dream World,None. PokéTransfer or Dream World,Trade Required,Trade Required,Friend Safari,Friend Safari,Trade from X & Y,Trade from X & Y,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Evolve Charmander,Evolve Charmander,"Max Raid Battles: Hammerlocke Hills , Lake of Outrage","Max Raid Battles: Hammerlocke Hills , Lake of Outrage",Evolve Charmander,Evolve Charmander,Not found in Legends Arceus
6,Evolve Charmeleon,Evolve Charmeleon,Evolve Charmeleon,"Transfer from Red, Green, Blue or Yellow","Transfer from Red, Green, Blue or Yellow","Transfer from Red, Green, Blue or Yellow",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Evolve Charmeleon,Evolve Charmeleon,Transfer from GBA via Pal Park,Transfer from GBA via Pal Park,None - Pal Park from 3rd Gen,Evolve Charmeleon,Evolve Charmeleon,None. PokéTransfer or Dream World,None. PokéTransfer or Dream World,Trade Required,Trade Required,Evolve Charmeleon,Evolve Charmeleon,Trade from X & Y,Trade from X & Y,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Evolve Charmeleon,Evolve Charmeleon,"Max Raid Battles: Hammerlocke Hills , Gigantamax Raid Battles: Lake of Outrage","Max Raid Battles: Hammerlocke Hills , Gigantamax Raid Battles: Lake of Outrage",Evolve Charmeleon,Evolve Charmeleon,Not found in Legends Arceus
7,Starter Pokémon,Starter Pokémon,Gift in Vermilion City,"Transfer from Red, Green, Blue or Yellow","Transfer from Red, Green, Blue or Yellow","Transfer from Red, Green, Blue or Yellow",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Starter Pokémon Obtained in Pallet Town,Starter Pokémon Obtained in Pallet Town,Transfer from GBA via Pal Park,Transfer from GBA via Pal Park,None - Pal Park from 3rd Gen,Receive from Professor Oak,Receive from Professor Oak,None. PokéTransfer or Dream World,None. PokéTransfer or Dream World,Trade Required,Trade Required,Lumiose City - Professor Sycamore,Lumiose City - Professor Sycamore,Trade from X & Y,Trade from X & Y,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Seaward Cave - Island Scan (Monday),Seaward Cave - Island Scan (Monday),Transfer through Pokémon HOME or through events,Transfer through Pokémon HOME or through events,Grand Underground,Grand Underground,Not found in Legends Arceus
8,Evolve Squirtle,Evolve Squirtle,Evolve Squirtle,"Transfer from Red, Green, Blue or Yellow","Transfer from Red, Green, Blue or Yellow","Transfer from Red, Green, Blue or Yellow",Not found in this generation,Not found in this generation,Not found in this generation,Not found in this generation,Not found in this generation,Transfer from GBA via Pal Park,Transfer from GBA via Pal Park,None - Pal Park from 3rd Gen,Evolve Squirtle,Evolve Squirtle,None. PokéTransfer or Dream World,None. PokéTransfer or Dream World,Trade Required,Trade Required,Friend Safari,Friend Safari,Trade from X & Y,Trade from X & Y,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Evolve Squirtle,Evolve Squirtle,Transfer through Pokémon HOME or through events,Transfer through Pokémon HOME or through events,Evolve Squirtle,Evolve Squirtle,Not found in Legends Arceus
9,Evolve Wartortle,Evolve Wartortle,Evolve Wartortle,"Transfer from Red, Green, Blue or Yellow","Transfer from Red, Green, Blue or Yellow","Transfer from Red, Green, Blue or Yellow",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Evolve Wartortle,Evolve Wartortle,Transfer from GBA via Pal Park,Transfer from GBA via Pal Park,None - Pal Park from 3rd Gen,Evolve Wartortle,Evolve Wartortle,None. PokéTransfer or Dream World,None. PokéTransfer or Dream World,Trade Required,Trade Required,Evolve Wartortle,Evolve Wartortle,Trade from X & Y,Trade from X & Y,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Evolve Wartortle,Evolve Wartortle,Transfer through Pokémon HOME or through events,Transfer through Pokémon HOME or through events,Evolve Wartortle,Evolve Wartortle,Not found in Legends Arceus
10,"Route 25, Viridian Forest","Route 2, Route 24, Route 25, Viridian Forest",Viridian Forest,"Route 30, Route 31, Route 34, Route 35, Route 36, Route 37, Route 38, Route 39, Azalea Town, Ilex Forest, National Park, Lake of Rage, Route 2, Route 26, Route 27",National Park,"Route 30, Route 31, Route 45, Route 46, Ilex Forest, National Park, Route 2, Route 24, Route 25",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Viridian Forest, Route 25, Pattern Bush","Viridian Forest, Route 25, Pattern Bush",Route 204-South FR Inserted into DS,Route 204-South FR Inserted into DS,"Route 204, Eterna Forest (FireRed Inserted)","Route 2, Route 30, Route 31, Ilex Forest, National Park, Viridian Forest , Ilex Forest (Headbutt) , Bug Catching Contest",Bug Catching Contest,Trade from White,Breed Caterpie/Metapod,Trade Required,Breed Butterfree,Santalune Forest,"Route 2, Santalune Forest",Trade from X & Y,Trade from X & Y,"Route 1 , Route 5 , Lush Jungle , Melemele Meadow","Route 1 , Route 5 , Lush Jungle , Melemele Meadow","Route 1 , Route 5 , Lush Jungle (SOS Only), Melemele Meadow","Route 1 , Route 5 , Lush Jungle (SOS Only), Melemele Meadow","Route 1 , Max Raid Battles: Bridge Field , Dappled Grove , Rolling Fields , South Lake Miloch","Route 1 , Max Raid Battles: Bridge Field , Dappled Grove , Rolling Fields , South Lake Miloch",Grand Underground,Trade from Pokémon Brilliant Diamond,Not found in Legends Arceus
