pokedex_number,name,generation,classification,abilities,height_m,weight_kg,type1,type2,base_total,hp,attack,defense,sp_attack,sp_defense,speed,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fighting,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,capture_rate,base_egg_steps,base_happiness,is_legendary,is_mythical,is_mega
1,Bulbasaur,1,Seed Pokemon,"['Overgrow', 'Chlorophyll']",0.7,6.9,Grass,Poison,318,45,49,49,65,65,45,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,45,"5,140",70,0,0,0
2,Ivysaur,1,Seed Pokemon,"['Overgrow', 'Chlorophyll']",1,13,Grass,Poison,405,60,62,63,80,80,60,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,45,"5,140",70,0,0,0
3,Venusaur,1,Seed Pokemon,"['Overgrow', 'Chlorophyll']",2,100,Grass,Poison,525,80,82,83,100,100,80,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,45,"5,140",70,0,0,0
3,Mega Venusaur,1,Seed Pokemon,['Thick Fat'],2.4,155.5,Grass,Poison,625,80,100,123,122,120,80,1,1,1,0.5,0.5,0.5,1,2,1,0.25,1,1,1,1,2,1,1,0.5,45,"5,140",70,0,0,1
4,Charmander,1,Lizard Pokemon,"['Blaze', 'Solar Power']",0.6,8.5,Fire,None,309,39,52,43,60,50,65,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,45,"5,140",70,0,0,0
5,Charmeleon,1,Flame Pokemon,"['Blaze', 'Solar Power']",1.1,19,Fire,None,405,58,64,58,80,65,80,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,45,"5,140",70,0,0,0
6,Charizard,1,Flame Pokemon,"['Blaze', 'Solar Power']",1.7,90.5,Fire,Flying,534,78,84,78,109,85,100,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,45,"5,140",70,0,0,0
6,Mega Charizard X,1,Flame Pokemon,['Tough Claws'],1.7,110.5,Fire,Dragon,634,78,130,111,130,85,100,0.5,1,2,0.5,1,1,0.25,1,1,0.25,2,1,1,1,1,2,0.5,1,45,"5,140",70,0,0,1
6,Mega Charizard Y,1,Flame Pokemon,['Drought'],1.7,100.5,Fire,Flying,634,78,104,78,159,115,100,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,45,"5,140",70,0,0,1
7,Squirtle,1,Tiny Turtle Pokemon,"['Torrent', 'Rain Dish']",0.5,9,Water,None,314,44,48,65,50,64,43,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,"5,140",70,0,0,0
8,Wartortle,1,Turtle Pokemon,"['Torrent', 'Rain Dish']",1,22.5,Water,None,405,59,63,80,65,80,58,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,"5,140",70,0,0,0
9,Blastoise,1,Shellfish Pokemon,"['Torrent', 'Rain Dish']",1.6,85.5,Water,None,530,79,83,100,85,105,78,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,"5,140",70,0,0,0
9,Mega Blastoise,1,Shellfish Pokemon,['Mega Launcher'],1.6,101.1,Water,None,630,79,103,120,135,115,78,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,"5,140",70,0,0,1
10,Caterpie,1,Worm Pokemon,"['Shield Dust', 'Run Away']",0.3,2.9,Bug,None,195,45,30,35,20,20,45,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,255,"3,855",70,0,0,0
11,Metapod,1,Cocoon Pokemon,['Shed Skin'],0.7,9.9,Bug,None,205,50,20,55,25,25,30,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,120,"3,855",70,0,0,0
12,Butterfree,1,Butterfly Pokemon,"['Compound Eyes', 'Tinted Lens']",1.1,32,Bug,Flying,395,60,45,50,90,80,70,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,45,"3,855",70,0,0,0
13,Weedle,1,Hairy Bug Pokemon,"['Shield Dust', 'Run Away']",0.3,3.2,Bug,Poison,195,40,35,30,20,20,50,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,255,"3,855",70,0,0,0
14,Kakuna,1,Cocoon Pokemon,['Shed Skin'],0.6,10,Bug,Poison,205,45,25,50,25,25,35,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,120,"3,855",70,0,0,0
15,Beedrill,1,Poison Bee Pokemon,"['Swarm', 'Sniper']",1,29.5,Bug,Poison,395,65,90,40,45,80,75,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,45,"3,855",70,0,0,0
15,Mega Beedrill,1,Poison Bee Pokemon,['Adaptability'],1.4,40.5,Bug,Poison,495,65,150,40,15,80,145,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,45,"3,855",70,0,0,1
16,Pidgey,1,Tiny Bird Pokemon,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.3,1.8,Normal,Flying,251,40,45,40,35,35,56,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,255,"3,855",70,0,0,0
17,Pidgeotto,1,Bird Pokemon,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",1.1,30,Normal,Flying,349,63,60,55,50,50,71,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,120,"3,855",70,0,0,0
18,Pidgeot,1,Bird Pokemon,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",1.5,39.5,Normal,Flying,479,83,80,75,70,70,101,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,45,"3,855",70,0,0,0
